Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Min,Metrics/LagrangeMultiplier/Max,Metrics/LagrangeMultiplier/Std
-0.5154434442520142,239.39999389648438,1000.0,0.0,1.419222354888916,0.01607448421418667,40.0,0.9990973472595215,0.9990973472595215,0.9990973472595215,0.009764979593455791,0.000299000006634742,1.000288724899292,5000.0,-0.05165453255176544,-0.05165453255176544,-0.0035399829503148794,0.015528920106589794,0.015528920106589794,-0.057654835283756256,15.13723373413086,15.13723373413086,-0.11060255020856857,61.83533477783203,38.92450714111328,22.910825729370117,61.83533477783203,80.85991668701172,0.010999999940395355,0.010999999940395355,0.010999999940395355,0.0
-0.3470620810985565,254.89999389648438,1000.0,1.0,1.4017245769500732,0.017553677782416344,40.0,0.9983882904052734,0.9983882904052734,0.9983882904052734,0.00996644701808691,0.00029799999902024865,0.9829654097557068,10000.0,-0.05295129865407944,-0.0012967661023139954,-0.08563072234392166,0.0034163498785346746,-0.01211257022805512,-0.04688951000571251,12.677928924560547,-2.4593048095703125,3.3555617332458496,127.0064468383789,40.28498077392578,24.842905044555664,65.12788391113281,76.77203369140625,0.021012499928474426,0.021012499928474426,0.021012499928474426,0.0
0.14484836161136627,246.6666717529297,1000.0,2.0,1.3907215595245361,0.016337653622031212,40.0,0.9959753155708313,0.9959753155708313,0.9959753155708313,0.009806479327380657,0.0002969999914057553,0.9721807241439819,15000.0,-0.048906974494457245,0.004044324159622192,-4.593063749780413e-06,0.006778374779969454,0.003362024901434779,-0.009814267978072166,5.804645538330078,-6.873283386230469,-0.40834712982177734,192.711181640625,43.0018310546875,22.658977508544922,65.66080474853516,76.14892578125,0.03101930394768715,0.03101930394768715,0.03101930394768715,0.0
0.062083899974823,250.75,1000.0,3.0,1.3899013996124268,0.01627379283308983,40.0,0.997214674949646,0.997214674949646,0.997214674949646,0.009866410866379738,0.00029600001289509237,0.9713834524154663,20000.0,-0.05477219074964523,-0.005865216255187988,-0.06056453287601471,0.003687565680593252,-0.0030908090993762016,-0.1053847149014473,8.65597152709961,2.8513259887695312,13.224193572998047,259.3700256347656,43.89784240722656,22.721088409423828,66.61893463134766,75.05374145507812,0.04103093221783638,0.04103093221783638,0.04103093221783638,0.0
0.16235138475894928,245.75999450683594,1000.0,4.0,1.3761487007141113,0.017551813274621964,40.0,0.9975446462631226,0.9975446462631226,0.9975446462631226,0.009754913859069347,0.000295000005280599,0.9581243991851807,25000.0,-0.056328676640987396,-0.001556485891342163,-0.045489292591810226,0.002763223135843873,-0.0009243425447493792,-0.009925691410899162,4.293366432189941,-4.362605094909668,11.107348442077637,325.0157470703125,42.569786071777344,23.030841827392578,65.60062408447266,76.21878814697266,0.051034897565841675,0.051034897565841675,0.051034897565841675,0.0
0.4622343182563782,227.39999389648438,1000.0,5.0,1.3639628887176514,0.021149395033717155,26.0,0.9939621090888977,0.9939621090888977,0.9939621090888977,0.011443564668297768,0.00029399999766610563,0.9465240836143494,30000.0,-0.0522068589925766,0.004121817648410797,-0.010192575864493847,0.004057661164551973,0.0012944380287081003,0.07997360080480576,5.256985187530518,0.9636187553405762,-0.8836893439292908,380.7148132324219,40.5765266418457,15.076152801513672,55.652679443359375,89.84293365478516,0.060985565185546875,0.060985565185546875,0.060985565185546875,0.0
0.7079760432243347,229.25714111328125,1000.0,6.0,1.3468266725540161,0.018078099936246872,40.0,0.9982832074165344,0.9982832074165344,0.9982832074165344,0.010472792200744152,0.00029299999005161226,0.9304676651954651,35000.0,-0.05564297363162041,-0.003436114639043808,0.16290390491485596,0.009552842006087303,0.00549518084153533,0.08463066071271896,4.005431652069092,-1.2515535354614258,8.942673683166504,444.66455078125,40.92656326293945,22.97834014892578,63.904903411865234,78.24125671386719,0.07090578973293304,0.07090578973293304,0.07090578973293304,0.0
1.2111629247665405,216.9250030517578,1000.0,7.0,1.332850694656372,0.021067965775728226,38.0,0.9921700954437256,0.9921700954437256,0.9921700954437256,0.010124615393579006,0.00029200001154094934,0.9176154732704163,40000.0,-0.055011600255966187,0.0006313733756542206,-0.11813008040189743,0.014362681657075882,0.004809839650988579,0.26394960284233093,2.7209677696228027,-1.284463882446289,13.134902000427246,507.75860595703125,40.85554885864258,22.198566436767578,63.054115295410156,79.29696655273438,0.080766461789608,0.080766461789608,0.080766461789608,0.0
1.5285725593566895,221.04444885253906,1000.0,8.0,1.312258243560791,0.02151985839009285,39.0,0.9922125935554504,0.9922125935554504,0.9922125935554504,0.010329124517738819,0.000291000003926456,0.8990966081619263,45000.0,-0.058885328471660614,-0.0038737282156944275,0.3131125867366791,0.012375380843877792,-0.0019873008131980896,0.00092945626238361,3.6869964599609375,0.9660286903381348,12.532978057861328,571.2349243164062,40.459739685058594,22.97455596923828,63.434295654296875,78.82171630859375,0.09059683978557587,0.09059683978557587,0.09059683978557587,0.0
1.8968664407730103,220.05999755859375,1000.0,9.0,1.2896157503128052,0.021991455927491188,31.0,0.997912585735321,0.997912585735321,0.997912585735321,0.011028104461729527,0.0002899999963119626,0.8789125680923462,50000.0,-0.05910083279013634,-0.00021550431847572327,-0.17020730674266815,0.012628777883946896,0.00025339704006910324,0.3636215329170227,3.5821032524108887,-0.10489320755004883,14.065556526184082,633.9292602539062,44.60426712036133,18.051742553710938,62.656009674072266,79.8008041381836,0.10040176659822464,0.10040176659822464,0.10040176659822464,0.0
