Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS
-0.5154434442520142,71.80000305175781,1000.0,0.0,1.4168365001678467,0.016540609300136566,40.0,0.9987964034080505,0.9987964034080505,0.9987964034080505,0.009832713752985,0.000299000006634742,0.9979074001312256,5000.0,-0.037988800555467606,-0.037988800555467606,-0.0035399829503148794,0.015528920106589794,0.015528920106589794,-0.057654835283756256,44.045379638671875,30.214506149291992,13.83087158203125,44.045379638671875,113.519287109375
-0.34915727376937866,79.19999694824219,1000.0,1.0,1.4118388891220093,0.013667146675288677,40.0,0.997311532497406,0.997311532497406,0.997311532497406,0.009690579026937485,0.00029799999902024865,0.9929343461990356,10000.0,-0.035616420209407806,0.002372380346059799,-0.09685169160366058,0.00290666613727808,-0.012622253969311714,-0.0658172219991684,90.24616241455078,31.386991500854492,14.792396545410156,46.17938995361328,108.2734146118164
-0.07805664092302322,89.13333129882812,1000.0,2.0,1.407128095626831,0.0157220009714365,40.0,0.996925413608551,0.996925413608551,0.996925413608551,0.010074330493807793,0.0002969999914057553,0.9882662892341614,15000.0,-0.037094008177518845,-0.0014775879681110382,-0.03016641177237034,0.0025675275828689337,-0.0003391385544091463,-0.10162603110074997,140.06654357910156,34.51615524291992,15.277480125427246,49.793636322021484,100.41443634033203
0.36213377118110657,89.9000015258789,1000.0,3.0,1.398409366607666,0.015614550560712814,40.0,0.9935327768325806,0.9935327768325806,0.9935327768325806,0.009882718324661255,0.00029600001289509237,0.9796865582466125,20000.0,-0.03109089657664299,0.0060031116008758545,-0.0723905935883522,0.010000688955187798,0.007433161372318864,-0.04857086017727852,188.57473754882812,33.67448043823242,14.808667182922363,48.48314666748047,103.12862396240234
0.6714399456977844,92.68000030517578,1000.0,4.0,1.3721261024475098,0.02008998952805996,40.0,0.9990071058273315,0.9990071058273315,0.9990071058273315,0.009716845117509365,0.000295000005280599,0.9543062448501587,25000.0,-0.039024293422698975,-0.007933396846055984,0.0384165458381176,0.011067066341638565,0.0010663773864507675,0.02280564047396183,241.43418884277344,35.633365631103516,17.200862884521484,52.834228515625,94.6356201171875
0.7649767398834229,107.5999984741211,1000.0,5.0,1.3613560199737549,0.020314853638410568,39.0,0.9990767240524292,0.9990767240524292,0.9990767240524292,0.01012666430324316,0.00029399999766610563,0.9440577030181885,30000.0,-0.04417695105075836,-0.005152657628059387,0.15661586821079254,0.004759099334478378,-0.006307967007160187,-0.012812826782464981,301.24847412109375,42.777889251708984,17.006221771240234,59.784114837646484,83.63426208496094
0.8334383964538574,108.4000015258789,1000.0,6.0,1.362499713897705,0.017251523211598396,40.0,0.9976181983947754,0.9976181983947754,0.9976181983947754,0.010427859611809254,0.00029299999005161226,0.9451338052749634,35000.0,-0.04468628764152527,-0.0005093365907669067,-0.05707712844014168,0.004153209272772074,-0.0006058900617063046,0.1053377315402031,362.84820556640625,44.20430374145508,17.365234375,61.56953811645508,81.20899200439453
1.0618963241577148,126.2750015258789,1000.0,7.0,1.3519041538238525,0.0173001941293478,40.0,0.99658203125,0.99658203125,0.99658203125,0.010490558110177517,0.00029200001154094934,0.9352236390113831,40000.0,-0.045957960188388824,-0.001271672546863556,0.12089125066995621,0.005942330230027437,0.0017891209572553635,0.10718052834272385,423.9075622558594,43.4499626159668,17.579694747924805,61.029659271240234,81.92737579345703
1.4386804103851318,138.44444274902344,1000.0,8.0,1.3316800594329834,0.020990168675780296,35.0,0.9951889514923096,0.9951889514923096,0.9951889514923096,0.010410740040242672,0.000291000003926456,0.916467010974884,45000.0,-0.0397687628865242,0.006189197301864624,-0.04503561183810234,0.015085832215845585,0.009143501985818148,0.16409790515899658,483.37762451171875,44.44804000854492,14.988332748413086,59.436370849609375,84.12357330322266
1.6358212232589722,140.39999389648438,1000.0,9.0,1.2972050905227661,0.02118419110774994,33.0,0.9973827004432678,0.9973827004432678,0.9973827004432678,0.010390852577984333,0.0002899999963119626,0.8854965567588806,50000.0,-0.04093500226736069,-0.0011662393808364868,0.03007722645998001,0.012221732176840305,-0.0028641000390052795,0.23934487998485565,540.5047607421875,43.122249603271484,13.971796035766602,57.09404754638672,87.5748062133789
